DATE,REGION,CHANNEL,PRODUCT,REVENUE,ORDERS,MARGIN_RATE,RETURN_COUNT,STATUS
2026-06-01,Seoul,Online,Alpha,12500000,420,0.31,8,normal
2026-06-01,Seoul,Retail,Beta,8200000,260,0.24,12,watch
2026-06-01,Busan,Partner,Gamma,5400000,180,0.19,6,normal
2026-06-02,Seoul,Online,Alpha,13200000,438,0.32,7,normal
2026-06-02,Busan,Retail,Beta,7600000,245,0.22,14,watch
2026-06-02,Incheon,Partner,Gamma,6100000,194,0.20,5,normal
2026-06-03,Seoul,Online,Delta,14800000,470,0.35,9,normal
2026-06-03,Busan,Retail,Alpha,8800000,276,0.25,16,watch
2026-06-03,Incheon,Partner,Beta,5900000,185,0.18,10,normal
2026-06-04,Seoul,Online,Alpha,15100000,486,0.34,11,normal
2026-06-04,Busan,Retail,Delta,9100000,290,0.26,15,watch
2026-06-04,Incheon,Partner,Gamma,6400000,202,0.21,7,normal
2026-06-05,Seoul,Online,Beta,13900000,452,0.30,13,normal
2026-06-05,Busan,Retail,Alpha,9600000,304,0.27,18,warning
2026-06-05,Incheon,Partner,Delta,7200000,224,0.23,9,normal
2026-06-06,Seoul,Online,Gamma,15800000,502,0.36,10,normal
2026-06-06,Busan,Retail,Beta,8700000,275,0.24,21,warning
2026-06-06,Incheon,Partner,Alpha,6900000,216,0.22,8,normal
