DATE,SEGMENT,STAGE,LEADS,CONVERTED,CONVERSION_RATE,AVG_DEAL_SIZE,DROP_OFF,STATUS
2026-06-01,Enterprise,Awareness,5000,980,0.196,0,4020,normal
2026-06-01,Enterprise,Evaluation,980,260,0.265,180000,720,watch
2026-06-01,Enterprise,Purchase,260,92,0.354,220000,168,normal
2026-06-01,SMB,Awareness,8200,1540,0.188,0,6660,normal
2026-06-01,SMB,Evaluation,1540,430,0.279,62000,1110,watch
2026-06-01,SMB,Purchase,430,148,0.344,78000,282,normal
2026-06-02,Enterprise,Awareness,5300,1045,0.197,0,4255,normal
2026-06-02,Enterprise,Evaluation,1045,281,0.269,185000,764,watch
2026-06-02,Enterprise,Purchase,281,101,0.359,224000,180,normal
2026-06-02,SMB,Awareness,7900,1490,0.189,0,6410,normal
2026-06-02,SMB,Evaluation,1490,398,0.267,61000,1092,warning
2026-06-02,SMB,Purchase,398,132,0.332,75000,266,normal
2026-06-03,Enterprise,Awareness,5600,1098,0.196,0,4502,normal
2026-06-03,Enterprise,Evaluation,1098,305,0.278,188000,793,normal
2026-06-03,Enterprise,Purchase,305,118,0.387,231000,187,normal
2026-06-03,SMB,Awareness,8400,1620,0.193,0,6780,normal
2026-06-03,SMB,Evaluation,1620,418,0.258,59000,1202,warning
2026-06-03,SMB,Purchase,418,139,0.333,77000,279,normal
